FromStationCode,ToStationCode,DistanceMiles,DistanceMinutes
B10,K03,13.78,45.0
B10,K04,14.18,47.0
B10,K05,15.77,51.0
B10,K06,16.86,54.0
B10,K07,19.17,58.0
B10,K08,21.43,61.0
B10,N01,17.96,59.0
B10,N02,18.59,61.0
B10,N03,19.21,63.0
B10,N04,19.55,65.0
B10,N06,24.5,73.0
B10,N07,25.51,75.0
B10,N08,26.82,78.0
B10,N09,28.38,81.0
B10,N10,30.32,85.0
B10,N11,31.84,91.0
B10,N12,33.59,95.0
B11,A01,12.46,31.0
B11,A02,12.66,33.0
B11,A03,12.67,35.0
B11,A04,12.73,37.0
B11,A05,12.76,40.0
B11,A06,12.79,42.0
B11,A07,13.21,44.0
B11,A08,13.27,46.0
B11,A09,13.41,49.0
B11,A10,13.5,51.0
B11,A11,13.9,54.0
B11,A12,14.5,57.0
B11,A13,15.21,60.0
B11,A14,17.01,63.0
B11,A15,19.33,67.0
B11,B01,12.34,29.0
B11,B02,12.29,27.0
B11,B03,11.97,25.0
B11,B04,10.39,21.0
B11,B05,9.58,19.0
B11,B06,8.22,16.0
B11,B07,6.34,13.0
B11,B08,4.95,10.0
B11,B09,3.33,7.0
B11,B10,1.72,4.0
B11,B35,11.35,23.0
B11,C01,12.46,31.0
B11,C02,12.57,37.0
B11,C03,12.74,38.0
B11,C04,13.02,40.0
B11,C05,13.86,43.0
B11,C06,14.71,45.0
B11,C07,14.9,42.0
B11,C08,15.46,43.0
B11,C09,15.96,45.0
B11,C10,16.39,47.0
B11,C11,17.9,50.0
B11,C12,19.27,52.0
B11,C13,19.86,54.0
B11,C14,20.43,56.0
B11,C15,20.93,57.0
B11,D01,12.76,37.0
B11,D02,13.13,39.0
B11,D03,13.25,37.0
B11,D04,13.44,43.0
B11,D05,13.78,45.0
B11,D06,14.11,47.0
B11,D07,14.61,49.0
B11,D08,14.84,50.0
B11,D09,15.82,54.0
B11,D10,16.14,56.0
B11,D11,16.76,58.0
B11,D12,17.68,61.0
B11,D13,18.45,64.0
B11,E01,11.78,32.0
B11,E02,11.3,31.0
B11,E03,10.92,29.0
B11,E04,10.09,27.0
B11,E05,9.35,24.0
B11,E06,8.22,16.0
B11,E07,9.49,24.0
B11,E08,10.04,27.0
B11,E09,11.22,30.0
B11,E10,12.22,33.0
B11,F01,12.34,29.0
B11,F02,12.69,35.0
B11,F03,13.25,37.0
B11,F04,13.96,39.0
B11,F05,14.33,41.0
B11,F06,15.42,43.0
B11,F07,16.7,46.0
B11,F08,17.47,48.0
B11,F09,17.92,51.0
B11,F10,19.08,53.0
B11,F11,20.74,56.0
B11,G01,16.39,53.0
B11,G02,17.54,56.0
B11,G03,18.38,59.0
B11,G04,19.39,62.0
B11,G05,20.34,65.0
B11,J02,22.25,64.0
B11,J03,25.38,70.0
B11,K01,14.66,46.0
B11,K02,15.07,48.0
B11,K03,15.45,49.0
B11,K04,15.84,51.0
B11,K05,17.36,55.0
B11,K06,18.37,58.0
B11,K07,20.64,62.0
B11,K08,22.83,65.0
B11,N01,19.37,63.0
B11,N02,19.99,65.0
B11,N03,20.58,67.0
B11,N04,20.89,69.0
B11,N06,25.65,77.0
B11,N07,26.62,79.0
B11,N08,27.91,82.0
B11,N09,29.42,85.0
B11,N10,31.36,89.0
B11,N11,32.78,95.0
B11,N12,34.49,99.0
B35,A01,1.72,8.0
B35,A02,2.37,10.0
B35,A03,2.73,12.0
B35,A04,3.72,14.0
B35,A05,4.36,17.0
B35,A06,4.95,19.0
B35,A07,5.98,21.0
B35,A08,6.7,23.0
B35,A09,8.3,26.0
B35,A10,9.27,28.0
B35,A11,11.39,31.0
B35,A12,12.76,34.0
B35,A13,13.85,37.0
B35,A14,15.84,40.0
B35,A15,18.49,44.0
B35,B01,1.44,6.0
B35,B02,1.17,4.0
B35,B03,0.67,2.0
B35,B04,1.07,2.0
B35,B05,1.91,4.0
B35,B06,3.21,7.0
B35,B07,5.02,10.0
B35,B08,6.4,13.0
B35,B09,8.03,16.0
B35,B10,9.64,19.0
B35,B11,11.35,23.0
B35,C01,1.72,8.0
B35,C02,2.05,14.0
B35,C03,2.42,15.0
B35,C04,2.95,17.0
B35,C05,4.19,20.0
B35,C06,4.58,22.0
B35,C07,4.35,19.0
B35,C08,4.93,20.0
B35,C09,5.24,22.0
B35,C10,5.55,24.0
B35,C11,7.01,27.0
B35,C12,8.4,29.0
B35,C13,9.05,31.0
B35,C14,9.71,33.0
B35,C15,10.23,34.0
B35,D01,1.94,14.0
B35,D02,2.25,16.0
B35,D03,2.2,14.0
B35,D04,2.29,20.0
B35,D05,2.5,22.0
B35,D06,2.8,24.0
B35,D07,3.32,26.0
B35,D08,3.66,27.0
B35,D09,5.28,31.0
B35,D10,6.01,33.0
B35,D11,7.12,35.0
B35,D12,8.83,38.0
B35,D13,10.21,41.0
B35,E01,1.63,13.0
B35,E02,1.92,14.0
B35,E03,2.35,16.0
B35,E04,3.12,18.0
B35,E05,3.63,15.0
B35,E06,3.21,7.0
B35,E07,4.54,15.0
B35,E08,5.65,18.0
B35,E09,7.44,21.0
B35,E10,9.85,24.0
B35,F01,1.44,6.0
B35,F02,1.71,12.0
B35,F03,2.2,14.0
B35,F04,2.81,16.0
B35,F05,3.06,18.0
B35,F06,4.11,20.0
B35,F07,5.39,23.0
B35,F08,6.17,25.0
B35,F09,6.7,28.0
B35,F10,7.99,30.0
B35,F11,9.69,33.0
B35,G01,5.78,30.0
B35,G02,7.22,33.0
B35,G03,8.2,36.0
B35,G04,9.63,39.0
B35,G05,10.92,42.0
B35,J02,12.2,41.0
B35,J03,15.51,47.0
B35,K01,5.21,23.0
B35,K02,5.71,25.0
B35,K03,6.17,26.0
B35,K04,6.73,28.0
B35,K05,9.1,32.0
B35,K06,10.95,35.0
B35,K07,13.22,39.0
B35,K08,15.7,42.0
B35,N01,12.85,40.0
B35,N02,13.46,42.0
B35,N03,14.17,44.0
B35,N04,14.75,46.0
B35,N06,20.38,54.0
B35,N07,21.5,56.0
B35,N08,22.84,59.0
B35,N09,24.55,62.0
B35,N10,26.44,66.0
B35,N11,28.44,72.0
B35,N12,30.33,76.0
C01,A01,,
C01,A02,0.75,2.0
C01,A03,1.23,4.0
C01,A04,2.4,6.0
C01,A05,3.1,9.0
C01,A06,3.73,11.0
C01,A07,4.7,13.0
C01,A08,5.46,15.0
C01,A09,7.14,18.0
C01,A10,8.15,20.0
C01,A11,10.34,23.0
C01,A12,11.72,26.0
C01,A13,12.81,29.0
C01,A14,14.77,32.0
C01,A15,17.44,36.0
C01,B01,0.29,2.0
C01,B02,0.64,4.0
C01,B03,1.21,6.0
C01,B04,2.69,10.0
C01,B05,3.46,12.0
C01,B06,4.55,15.0
C01,B07,6.24,18.0
C01,B08,7.54,21.0
C01,B09,9.14,24.0
C01,B10,10.74,27.0
C01,B11,12.46,31.0
C01,B35,1.72,8.0
C01,C02,0.41,1.0
C01,C03,0.77,2.0
C01,C04,1.28,4.0
C01,C05,2.5,7.0
C01,C06,2.87,9.0
C01,C07,2.97,12.0
C01,C08,3.56,13.0
C01,C09,3.93,15.0
C01,C10,4.29,17.0
C01,C11,5.8,20.0
C01,C12,7.2,22.0
C01,C13,7.82,24.0
C01,C14,8.46,29.0
C01,C15,8.98,30.0
C01,D01,0.3,1.0
C01,D02,0.67,3.0
C01,D03,1.07,5.0
C01,D04,1.31,7.0
C01,D05,1.81,9.0
C01,D06,2.28,11.0
C01,D07,2.89,13.0
C01,D08,3.39,14.0
C01,D09,5.21,18.0
C01,D10,5.98,20.0
C01,D11,7.11,22.0
C01,D12,8.84,25.0
C01,D13,10.22,28.0
C01,E01,0.75,9.0
C01,E02,1.21,10.0
C01,E03,1.55,12.0
C01,E04,2.37,14.0
C01,E05,3.15,17.0
C01,E06,4.55,15.0
C01,E07,6.1,23.0
C01,E08,7.22,26.0
C01,E09,9.04,29.0
C01,E10,11.43,32.0
C01,F01,0.29,2.0
C01,F02,0.56,8.0
C01,F03,1.07,5.0
C01,F04,1.78,12.0
C01,F05,2.26,14.0
C01,F06,3.37,16.0
C01,F07,4.64,19.0
C01,F08,5.49,21.0
C01,F09,6.21,24.0
C01,F10,7.57,26.0
C01,F11,9.26,29.0
C01,G01,5.66,17.0
C01,G02,7.12,20.0
C01,G03,8.1,23.0
C01,G04,9.56,26.0
C01,G05,10.86,29.0
C01,J02,10.83,29.0
C01,J03,14.14,35.0
C01,K01,3.51,10.0
C01,K02,4.0,12.0
C01,K03,4.46,13.0
C01,K04,5.02,15.0
C01,K05,7.41,19.0
C01,K06,9.29,22.0
C01,K07,11.53,26.0
C01,K08,14.01,29.0
C01,N01,11.24,27.0
C01,N02,11.84,29.0
C01,N03,12.55,31.0
C01,N04,13.14,33.0
C01,N06,18.79,41.0
C01,N07,19.91,43.0
C01,N08,21.25,46.0
C01,N09,22.96,49.0
C01,N10,24.84,53.0
C01,N11,26.88,59.0
C01,N12,28.78,63.0
C02,A01,0.41,1.0
C02,A02,0.8,8.0
C02,A03,1.28,10.0
C02,A04,2.46,12.0
C02,A05,3.16,15.0
C02,A06,3.79,17.0
C02,A07,4.75,19.0
C02,A08,5.52,21.0
C02,A09,7.2,24.0
C02,A10,8.22,26.0
C02,A11,10.41,29.0
C02,A12,11.79,32.0
C02,A13,12.89,35.0
C02,A14,14.84,38.0
C02,A15,17.51,42.0
C02,B01,0.67,8.0
C02,B02,1.04,10.0
C02,B03,1.59,12.0
C02,B04,2.97,16.0
C02,B05,3.7,18.0
C02,B06,4.74,21.0
C02,B07,6.38,24.0
C02,B08,7.67,27.0
C02,B09,9.25,30.0
C02,B10,10.84,33.0
C02,B11,12.57,37.0
C02,B35,2.05,14.0
C02,C01,0.41,1.0
C02,C03,0.38,1.0
C02,C04,0.9,3.0
C02,C05,2.14,6.0
C02,C06,2.57,8.0
C02,C07,3.22,11.0
C02,C08,3.81,12.0
C02,C09,4.21,14.0
C02,C10,4.59,16.0
C02,C11,6.11,19.0
C02,C12,7.5,21.0
C02,C13,8.12,23.0
C02,C14,8.75,30.0
C02,C15,9.26,31.0
C02,D01,0.67,2.0
C02,D02,1.03,4.0
C02,D03,1.46,6.0
C02,D04,1.71,8.0
C02,D05,2.21,10.0
C02,D06,2.69,12.0
C02,D07,3.3,14.0
C02,D08,3.79,15.0
C02,D09,5.58,19.0
C02,D10,6.34,21.0
C02,D11,7.45,23.0
C02,D12,9.17,26.0
C02,D13,10.54,29.0
C02,E01,1.01,15.0
C02,E02,1.41,16.0
C02,E03,1.69,18.0
C02,E04,2.48,20.0
C02,E05,3.3,23.0
C02,E06,4.74,21.0
C02,E07,6.34,29.0
C02,E08,7.47,32.0
C02,E09,9.3,35.0
C02,E10,11.66,38.0
C02,F01,0.67,8.0
C02,F02,0.97,13.0
C02,F03,1.46,6.0
C02,F04,2.17,13.0
C02,F05,2.66,15.0
C02,F06,3.78,17.0
C02,F07,5.03,20.0
C02,F08,5.9,22.0
C02,F09,6.61,25.0
C02,F10,7.98,27.0
C02,F11,9.67,30.0
C02,G01,6.04,18.0
C02,G02,7.5,21.0
C02,G03,8.48,24.0
C02,G04,9.93,27.0
C02,G05,11.23,30.0
C02,J02,11.06,28.0
C02,J03,14.36,34.0
C02,K01,3.16,9.0
C02,K02,3.67,11.0
C02,K03,4.13,12.0
C02,K04,4.68,14.0
C02,K05,7.05,18.0
C02,K06,8.91,21.0
C02,K07,11.17,25.0
C02,K08,13.66,28.0
C02,N01,10.85,26.0
C02,N02,11.45,28.0
C02,N03,12.16,30.0
C02,N04,12.75,32.0
C02,N06,18.4,40.0
C02,N07,19.52,42.0
C02,N08,20.86,45.0
C02,N09,22.57,48.0
C02,N10,24.45,52.0
C02,N11,26.48,58.0
C02,N12,28.38,62.0
C03,A01,0.77,2.0
C03,A02,0.88,9.0
C03,A03,1.37,11.0
C03,A04,2.56,13.0
C03,A05,3.27,16.0
C03,A06,3.9,18.0
C03,A07,4.83,20.0
C03,A08,5.61,22.0
C03,A09,7.3,25.0
C03,A10,8.33,27.0
C03,A11,10.53,30.0
C03,A12,11.91,33.0
C03,A13,13.0,36.0
C03,A14,14.95,39.0
C03,A15,17.62,43.0
C03,B01,1.05,9.0
C03,B02,1.41,11.0
C03,B03,1.97,13.0
C03,B04,3.32,17.0
C03,B05,4.03,19.0
C03,B06,5.02,22.0
C03,B07,6.61,25.0
C03,B08,7.86,28.0
C03,B09,9.43,31.0
C03,B10,11.02,34.0
C03,B11,12.74,38.0
C03,B35,2.42,15.0
C03,C01,0.77,2.0
C03,C02,0.38,1.0
C03,C04,0.52,2.0
C03,C05,1.77,5.0
C03,C06,2.24,7.0
C03,C07,3.23,10.0
C03,C08,3.82,11.0
C03,C09,4.25,13.0
C03,C10,4.66,15.0
C03,C11,6.17,18.0
C03,C12,7.56,20.0
C03,C13,8.17,22.0
C03,C14,8.79,29.0
C03,C15,9.3,30.0
C03,D01,0.99,3.0
C03,D02,1.3,5.0
C03,D03,1.76,7.0
C03,D04,2.04,9.0
C03,D05,2.56,11.0
C03,D06,3.04,13.0
C03,D07,3.66,15.0
C03,D08,4.16,16.0
C03,D09,5.96,20.0
C03,D10,6.72,22.0
C03,D11,7.83,24.0
C03,D12,9.54,27.0
C03,D13,10.91,30.0
C03,E01,1.37,16.0
C03,E02,1.73,17.0
C03,E03,1.96,19.0
C03,E04,2.7,21.0
C03,E05,3.54,24.0
C03,E06,5.02,22.0
C03,E07,6.66,30.0
C03,E08,7.79,33.0
C03,E09,9.63,36.0
C03,E10,11.98,39.0
C03,F01,1.05,9.0
C02,A01,0.41,1.0
C02,A02,0.8,8.0
C02,A03,1.28,10.0
C02,A04,2.46,12.0
C02,A05,3.16,15.0
C02,A06,3.79,17.0
C02,A07,4.75,19.0
C02,A08,5.52,21.0
C02,A09,7.2,24.0
C02,A10,8.22,26.0
C02,A11,10.41,29.0
C02,A12,11.79,32.0
C02,A13,12.89,35.0
C02,A14,14.84,38.0
C02,A15,17.51,42.0
C02,B01,0.67,8.0
C02,B02,1.04,10.0
C02,B03,1.59,12.0
C02,B04,2.97,16.0
C02,B05,3.7,18.0
C02,B06,4.74,21.0
C02,B07,6.38,24.0
C02,B08,7.67,27.0
C02,B09,9.25,30.0
C02,B10,10.84,33.0
C02,B11,12.57,37.0
C02,B35,2.05,14.0
C02,C01,0.41,1.0
C02,C03,0.38,1.0
C02,C04,0.9,3.0
C02,C05,2.14,6.0
C02,C06,2.57,8.0
C02,C07,3.22,11.0
C02,C08,3.81,12.0
C02,C09,4.21,14.0
C02,C10,4.59,16.0
C02,C11,6.11,19.0
C02,C12,7.5,21.0
C02,C13,8.12,23.0
C02,C14,8.75,30.0
C02,C15,9.26,31.0
C02,D01,0.67,2.0
C02,D02,1.03,4.0
C02,D03,1.46,6.0
C02,D04,1.71,8.0
C02,D05,2.21,10.0
C02,D06,2.69,12.0
C02,D07,3.3,14.0
C02,D08,3.79,15.0
C02,D09,5.58,19.0
C02,D10,6.34,21.0
C02,D11,7.45,23.0
C02,D12,9.17,26.0
C02,D13,10.54,29.0
C02,E01,1.01,15.0
C02,E02,1.41,16.0
C02,E03,1.69,18.0
C02,E04,2.48,20.0
C02,E05,3.3,23.0
C02,E06,4.74,21.0
C02,E07,6.34,29.0
C02,E08,7.47,32.0
C02,E09,9.3,35.0
C02,E10,11.66,38.0
C02,F01,0.67,8.0
C02,F02,0.97,13.0
C02,F03,1.46,6.0
C02,F04,2.17,13.0
C02,F05,2.66,15.0
C02,F06,3.78,17.0
C02,F07,5.03,20.0
C02,F08,5.9,22.0
C02,F09,6.61,25.0
C02,F10,7.98,27.0
C02,F11,9.67,30.0
C02,G01,6.04,18.0
C02,G02,7.5,21.0
C02,G03,8.48,24.0
C02,G04,9.93,27.0
C02,G05,11.23,30.0
C02,J02,11.06,28.0
C02,J03,14.36,34.0
C02,K01,3.16,9.0
C02,K02,3.67,11.0
C02,K03,4.13,12.0
C02,K04,4.68,14.0
C02,K05,7.05,18.0
C02,K06,8.91,21.0
C02,K07,11.17,25.0
C02,K08,13.66,28.0
C02,N01,10.85,26.0
C02,N02,11.45,28.0
C02,N03,12.16,30.0
C02,N04,12.75,32.0
C02,N06,18.4,40.0
C02,N07,19.52,42.0
C02,N08,20.86,45.0
C02,N09,22.57,48.0
C02,N10,24.45,52.0
C02,N11,26.48,58.0
C02,N12,28.38,62.0
C03,A01,0.77,2.0
C03,A02,0.88,9.0
C03,A03,1.37,11.0
C03,A04,2.56,13.0
C03,A05,3.27,16.0
C03,A06,3.9,18.0
C03,A07,4.83,20.0
C03,A08,5.61,22.0
C03,A09,7.3,25.0
C03,A10,8.33,27.0
C03,A11,10.53,30.0
C03,A12,11.91,33.0
C03,A13,13.0,36.0
C03,A14,14.95,39.0
C03,A15,17.62,43.0
C03,B01,1.05,9.0
C03,B02,1.41,11.0
C03,B03,1.97,13.0
C03,B04,3.32,17.0
C03,B05,4.03,19.0
C03,B06,5.02,22.0
C03,B07,6.61,25.0
C03,B08,7.86,28.0
C03,B09,9.43,31.0
C03,B10,11.02,34.0
C03,B11,12.74,38.0
C03,B35,2.42,15.0
C03,C01,0.77,2.0
C03,C02,0.38,1.0
C03,C04,0.52,2.0
C03,C05,1.77,5.0
C03,C06,2.24,7.0
C03,C07,3.23,10.0
C03,C08,3.82,11.0
C03,C09,4.25,13.0
C03,C10,4.66,15.0
C03,C11,6.17,18.0
C03,C12,7.56,20.0
C03,C13,8.17,22.0
C03,C14,8.79,29.0
C03,C15,9.3,30.0
C03,D01,0.99,3.0
C03,D02,1.3,5.0
C03,D03,1.76,7.0
C03,D04,2.04,9.0
C03,D05,2.56,11.0
C03,D06,3.04,13.0
C03,D07,3.66,15.0
C03,D08,4.16,16.0
C03,D09,5.96,20.0
C03,D10,6.72,22.0
C03,D11,7.83,24.0
C03,D12,9.54,27.0
C03,D13,10.91,30.0
C03,E01,1.37,16.0
C03,E02,1.73,17.0
C03,E03,1.96,19.0
C03,E04,2.7,21.0
C03,E05,3.54,24.0
C03,E06,5.02,22.0
C03,E07,6.66,30.0
C03,E08,7.79,33.0
C03,E09,9.63,36.0
C03,E10,11.98,39.0
C03,F01,1.05,9.0
C03,F02,1.31,14.0
C03,F03,1.76,7.0
C03,F04,2.46,14.0
C03,F05,2.98,16.0
C03,F06,4.09,18.0
C03,F07,5.33,21.0
C03,F08,6.2,23.0
C03,F09,6.95,26.0
C03,F10,8.32,28.0
C03,F11,10.01,31.0
C03,G01,6.42,19.0
C03,G02,7.88,22.0
C03,G03,8.86,25.0
C03,G04,10.31,28.0
C03,G05,11.61,31.0
C03,J02,11.03,27.0
C03,J03,14.33,33.0
C03,K01,2.79,8.0
C03,K02,3.3,10.0
C03,K03,3.76,11.0
C03,K04,4.31,13.0
C03,K05,6.68,17.0
C03,K06,8.54,20.0
C03,K07,10.8,24.0
C03,K08,13.28,27.0
C03,N01,10.48,25.0
C03,N02,11.08,27.0
C03,N03,11.79,29.0
C03,N04,12.38,31.0
C03,N06,18.02,39.0
C03,N07,19.15,41.0
C03,N08,20.48,44.0
C03,N09,22.19,47.0
C03,N10,24.07,51.0
C03,N11,26.11,57.0
C03,N12,28.01,61.0
C04,A01,1.28,4.0
C04,A02,1.37,11.0
C04,A03,1.69,13.0
C04,A04,2.79,15.0
C04,A05,3.48,18.0
C04,A06,4.1,20.0
C04,A07,4.99,22.0
C04,A08,5.77,24.0
C04,A09,7.48,27.0
C04,A10,8.51,29.0
C04,A11,10.72,32.0
C04,A12,12.11,35.0
C04,A13,13.2,38.0
C04,A14,15.13,41.0
C04,A15,17.8,45.0
C04,B01,1.56,11.0
C04,B02,1.92,13.0
C04,B03,2.49,15.0
C04,B04,3.83,19.0
C04,B05,4.51,21.0
C04,B06,5.44,24.0
C04,B07,6.96,27.0
C04,B08,8.18,30.0
C04,B09,9.72,33.0
C04,B10,11.3,36.0
C04,B11,13.02,40.0
C04,B35,2.95,17.0
C04,C01,1.28,4.0
C04,C02,0.9,3.0
C04,C03,0.52,2.0
C04,C05,1.25,3.0
C04,C06,1.79,5.0
C04,C07,2.89,8.0
C04,C08,3.47,9.0
C04,C09,3.94,11.0
C04,C10,4.38,13.0
C04,C11,5.89,16.0
C04,C12,7.26,18.0
C04,C13,7.85,20.0
C04,C14,8.45,27.0
C04,C15,8.96,28.0
C04,D01,1.46,5.0
C04,D02,1.73,7.0
C04,D03,2.2,9.0
C04,D04,2.5,11.0
C04,D05,3.05,13.0
C04,D06,3.54,15.0
C04,D07,4.15,17.0
C04,D08,4.67,18.0
C04,D09,6.48,22.0
C04,D10,7.24,24.0
C04,D11,8.35,26.0
C04,D12,10.06,29.0
C04,D13,11.43,32.0
C04,E01,1.89,18.0
C04,E02,2.22,19.0
C04,E03,2.41,21.0
C04,E04,3.07,23.0
C04,E05,3.93,26.0
C04,E06,5.44,24.0
C04,E07,7.13,32.0
C04,E08,8.26,35.0
C04,E09,10.11,38.0
C04,E10,12.44,41.0
C04,F01,1.56,11.0
C04,F02,1.8,16.0
C04,F03,2.2,9.0
C04,F04,2.87,16.0
C04,F05,3.43,18.0
C04,F06,4.52,20.0
C04,F07,5.74,23.0
C04,F08,6.63,25.0
C04,F09,7.41,28.0
C04,F10,8.79,30.0
C04,F11,10.47,33.0
C04,G01,6.94,21.0
C04,G02,8.4,24.0
C04,G03,9.38,27.0
C04,G04,10.83,30.0
C04,G05,12.14,33.0
C04,J02,10.61,25.0
C04,J03,13.9,31.0
C04,K01,2.27,6.0
C04,K02,2.78,8.0
C04,K03,3.25,9.0
C04,K04,3.8,11.0
C04,K05,6.15,15.0
C04,K06,8.01,18.0
C04,K07,10.27,22.0
C04,K08,12.76,25.0
C04,N01,9.96,23.0
C04,N02,10.56,25.0
C04,N03,11.27,27.0
C04,N04,11.86,29.0
C04,N06,17.51,37.0
C04,N07,18.63,39.0
C04,N08,19.97,42.0
C04,N09,21.68,45.0
C04,N10,23.56,49.0
C04,N11,25.6,55.0
C04,N12,27.51,59.0
C05,A01,2.5,7.0
C05,A02,2.61,14.0
C05,A03,2.87,16.0
C05,A04,3.72,18.0
C05,A05,4.33,21.0
C05,A06,4.9,23.0
C05,A07,5.65,25.0
C05,A08,6.42,27.0
C05,A09,8.13,30.0
C05,A10,9.18,32.0
C05,A11,11.41,35.0
C05,A12,12.78,38.0
C05,A13,13.86,41.0
C05,A14,15.76,44.0
C05,A15,18.42,48.0
C05,B01,2.78,14.0
C05,B02,3.13,16.0
C05,B03,3.71,18.0
C05,B04,5.07,22.0
C05,B05,5.73,24.0
C05,B06,6.59,27.0
C05,B07,7.99,30.0
C05,B08,9.13,33.0
C05,B09,10.61,36.0
C05,B10,12.15,39.0
C05,B11,13.86,43.0
C05,B35,4.19,20.0
C05,C01,2.5,7.0
C05,C02,2.14,6.0
C05,C03,1.77,5.0
C05,C04,1.25,3.0
C05,C06,0.91,2.0
C05,C07,2.16,5.0
C05,C08,2.65,6.0
C05,C09,3.23,8.0
C05,C10,3.71,10.0
C05,C11,5.15,13.0
C05,C12,6.47,15.0
C05,C13,7.02,17.0
C05,C14,7.58,24.0
C05,C15,8.07,25.0
C05,D01,2.65,8.0
C05,D02,2.85,10.0
C05,D03,3.3,12.0
C05,D04,3.62,14.0
C05,D05,4.2,16.0
C05,D06,4.7,18.0
C05,D07,5.31,20.0
C05,D08,5.85,21.0
C05,D09,7.7,25.0
C05,D10,8.48,27.0
C05,D11,9.6,29.0
C05,D12,11.31,32.0
C05,D13,12.67,35.0
C05,E01,3.14,20.0
C05,E02,3.46,21.0
C05,E03,3.62,23.0
C05,E04,4.2,25.0
C05,E05,5.06,28.0
C05,E06,6.59,27.0
C05,E07,8.33,35.0
C05,E08,9.45,38.0
C05,E09,11.31,41.0
C05,E10,13.62,44.0
C05,F01,2.78,14.0
C05,F02,2.99,17.0
C05,F03,3.3,12.0
C05,F04,3.91,19.0
C05,F05,4.52,21.0
C05,F06,5.55,23.0
C05,F07,6.7,26.0
C05,F08,7.61,28.0
C05,F09,8.48,31.0
C05,F10,9.88,33.0
C05,F11,11.53,36.0
C05,G01,8.15,24.0
C05,G02,9.61,27.0
C05,G03,10.58,30.0
C05,G04,12.05,33.0
C05,G05,13.36,36.0
C05,J02,9.54,22.0
C05,J03,12.8,28.0
C05,K01,1.03,3.0
C05,K02,1.54,5.0
C05,K03,2.01,6.0
C05,K04,2.55,8.0
C05,K05,4.91,12.0
C05,K06,6.79,15.0
C05,K07,9.03,19.0
C05,K08,11.52,22.0
C05,N01,8.78,20.0
C05,N02,9.37,22.0
C05,N03,10.08,24.0
C05,N04,10.69,26.0
C05,N06,16.34,34.0
C05,N07,17.46,36.0
C05,N08,18.79,39.0
C05,N09,20.51,42.0
C05,N10,22.38,46.0
C05,N11,24.45,52.0
C05,N12,26.36,56.0
C06,A01,2.87,9.0
C06,A02,3.11,16.0
C06,A03,3.48,18.0
C06,A04,4.5,20.0
C06,A05,5.15,23.0
C06,A06,5.75,25.0
C06,A07,6.54,27.0
C06,A08,7.32,29.0
C06,A09,9.03,32.0
C06,A10,10.08,34.0
C06,A11,12.3,37.0
C06,A12,13.68,40.0
C06,A13,14.77,43.0
C06,A14,16.67,46.0
C06,A15,19.33,50.0
C06,B01,3.14,16.0
C06,B02,3.45,18.0
C06,B03,4.03,20.0
C06,B04,5.54,24.0
C06,B05,6.27,26.0
C06,B06,7.23,29.0
C06,B07,8.74,32.0
C06,B08,9.93,35.0
C06,B09,11.44,38.0
C06,B10,13.0,41.0
C06,B11,14.71,45.0
C06,B35,4.58,22.0
C06,C01,2.87,9.0
C06,C02,2.57,8.0
C06,C03,2.24,7.0
C06,C04,1.79,5.0
C06,C05,0.91,2.0
C06,C07,1.25,3.0
C06,C08,1.76,4.0
C06,C09,2.31,6.0
C06,C10,2.8,8.0
C06,C11,4.25,11.0
C06,C12,5.58,13.0
C06,C13,6.15,15.0
C06,C14,6.73,22.0
C06,C15,7.22,23.0
C06,D01,2.96,10.0
C06,D02,3.01,12.0
C06,D03,2.93,13.0
C06,D04,3.26,16.0
C06,D05,3.84,18.0
C06,D06,4.34,20.0
C06,D07,4.94,22.0
C06,D08,5.52,23.0
C06,D09,7.43,31.0
C06,D10,8.24,33.0
C06,D11,9.37,35.0
C06,D12,11.12,38.0
C06,D13,12.51,41.0
C06,E01,3.58,18.0
C06,E02,3.97,19.0
C06,E03,4.19,21.0
C06,E04,4.86,23.0
C06,E05,5.72,26.0
C06,E06,7.23,29.0
C06,E07,8.9,37.0
C06,E08,10.02,40.0
C06,E09,11.87,43.0
C06,E10,14.22,46.0
C06,F01,3.14,16.0
C06,F02,3.25,15.0
C06,F03,2.93,13.0
C06,F04,3.48,20.0
C06,F05,4.1,22.0
C06,F06,5.09,24.0
C06,F07,6.19,27.0
C06,F08,7.11,29.0
C06,F09,8.02,32.0
C06,F10,9.42,34.0
C06,F11,11.05,37.0
C06,G01,7.84,26.0
C06,G02,9.29,29.0
C06,G03,10.26,32.0
C06,G04,11.75,35.0
C06,G05,13.07,38.0
C06,J02,8.82,20.0
C06,J03,12.11,26.0
C06,K01,1.69,10.0
C06,K02,2.14,12.0
C06,K03,2.58,13.0
C06,K04,3.14,15.0
C06,K05,5.56,19.0
C06,K06,7.51,22.0
C06,K07,9.69,26.0
C06,K08,12.16,29.0
C06,N01,9.57,27.0
C06,N02,10.14,29.0
C06,N03,10.84,31.0
C06,N04,11.46,33.0
C06,N06,17.11,41.0
C06,N07,18.24,43.0
C06,N08,19.56,46.0
C06,N09,21.27,49.0
C06,N10,23.13,53.0
C06,N11,25.24,59.0
C06,N12,27.15,63.0
C07,A01,2.97,12.0
C07,A02,3.38,17.0
C07,A03,3.83,19.0
C07,A04,4.94,21.0
C07,A05,5.62,24.0
C07,A06,6.23,26.0
C07,A07,7.05,28.0
